"species_code","common_name","scientific_name"
"pibgre","Pied-billed Grebe","Podilymbus podiceps"
"piggui","Pigeon Guillemot","Cepphus columba"
"pitsni","Pin-tailed Snipe","Gallinago stenura"
"pingro","Pine Grosbeak","Pinicola enucleator"
"pinsis","Pine Siskin","Spinus pinus"
"pinwar","Pine Warbler","Setophaga pinus"
"pifgoo","Pink-footed Goose","Anser brachyrhynchus"
"pifshe","Pink-footed Shearwater","Ardenna creatopus"
"cappet","Pintado Petrel","Daption capense"
"pipplo","Piping Plover","Charadrius melodus"
"pirfly1","Piratic Flycatcher","Legatus leucophaius"
"plaswi1","Plain Swift","Apus unicolor"
"pmtspi1","Plain-mantled Tit-Spinetail","Leptasthenura aegithaloides"
"placuc1","Plaintive Cuckoo","Cacomantis merulinus"
"plukit1","Plumbeous Kite","Ictinia plumbea"
"plured1","Plumbeous Redstart","Phoenicurus fuliginosus"
"plsvir","Plumbeous Vireo","Vireo plumbeus"
"pomjae","Pomarine Jaeger","Stercorarius pomarinus"
"prafal","Prairie Falcon","Falco mexicanus"
"prawar","Prairie Warbler","Setophaga discolor"
"prowar","Prothonotary Warbler","Protonotaria citrea"
"purfin","Purple Finch","Haemorhous purpureus"
"purgal2","Purple Gallinule","Porphyrio martinica"
"purher1","Purple Heron","Ardea purpurea"
"purmar","Purple Martin","Progne subis"
"pursan","Purple Sandpiper","Calidris maritima"
"razorb","Razorbill","Alca torda"
"recdov1","Red Collared-Dove","Streptopelia tranquebarica"
"redcro","Red Crossbill","Loxia curvirostra"
"redkit1","Red Kite","Milvus milvus"
"redkno","Red Knot","Calidris canutus"
"redpha1","Red Phalarope","Phalaropus fulicarius"
"redsho1","Red Shoveler","Spatula platalea"
"redwat1","Red Wattlebird","Anthochaera carunculata"
"rebshr1","Red-backed Shrike","Lanius collurio"
"rebmer","Red-breasted Merganser","Mergus serrator"
"rebnut","Red-breasted Nuthatch","Sitta canadensis"
"rebsap","Red-breasted Sapsucker","Sphyrapicus ruber"
"reccuc1","Red-chested Cuckoo","Cuculus solitarius"
"reevir1","Red-eyed Vireo","Vireo olivaceus"
"refwar","Red-faced Warbler","Cardellina rubrifrons"
"refblu","Red-flanked/Qilian Bluetail","Tarsiger cyanurus/albocoeruleus"
"rehwoo","Red-headed Woodpecker","Melanerpes erythrocephalus"
"rensap","Red-naped Sapsucker","Sphyrapicus nuchalis"
"rengre","Red-necked Grebe","Podiceps grisegena"
"rennig1","Red-necked Nightjar","Caprimulgus ruficollis"
"renpha","Red-necked Phalarope","Phalaropus lobatus"
"rensti","Red-necked Stint","Calidris ruficollis"
"reshaw","Red-shouldered Hawk","Buteo lineatus"
"rethaw","Red-tailed Hawk","Buteo jamaicensis"
"retloo","Red-throated Loon","Gavia stellata"
"rewlap1","Red-wattled Lapwing","Vanellus indicus"
"rewbla","Red-winged Blackbird","Agelaius phoeniceus"
"redhea","Redhead","Aythya americana"
"redpol1","Redpoll","Acanthis flammea"
"rhiauk","Rhinoceros Auklet","Cerorhinca monocerata"
"ricpip1","Richard's Pipit","Anthus richardi"
"ribgul","Ring-billed Gull","Larus delawarensis"
"rinduc","Ring-necked Duck","Aythya collaris"
"maghum1","Rivoli's Hummingbird","Eugenes fulgens"
"rocpip1","Rock Pipit","Anthus petrosus"
"rocsan","Rock Sandpiper","Calidris ptilocnemis"
"rocwre","Rock Wren","Salpinctes obsoletus"
"rook1","Rook","Corvus frugilegus"
"rosrob1","Rose Robin","Petroica rosea"
"robgro","Rose-breasted Grosbeak","Pheucticus ludovicianus"
"rcfdov1","Rose-crowned Fruit-Dove","Ptilinopus regina"
"rotbec","Rose-throated Becard","Pachyramphus aglaiae"
"rosspo1","Roseate Spoonbill","Platalea ajaja"
"roster","Roseate Tern","Sterna dougallii"
"rosgoo","Ross's Goose","Anser rossii"
"rosgul","Ross's Gull","Rhodostethia rosea"
"robpoc1","Rosy-billed Pochard","Netta peposaca"
"rolhaw","Rough-legged Hawk","Buteo lagopus"
"royspo1","Royal Spoonbill","Platalea regia"
"royter1","Royal Tern","Thalasseus maximus"
"ruckin","Ruby-crowned Kinglet","Corthylio calendula"
"rthhum","Ruby-throated Hummingbird","Archilochus colubris"
"ruthum1","Ruby-topaz Hummingbird","Chrysolampis mosquitus"
"rudduc","Ruddy Duck","Oxyura jamaicensis"
"rudkin1","Ruddy Kingfisher","Halcyon coromanda"
"rudtur","Ruddy Turnstone","Arenaria interpres"
"rubcra1","Ruddy-breasted Crake","Zapornia fusca"
"ruhgoo1","Ruddy-headed Goose","Chloephaga rubidiceps"
"ruff","Ruff","Calidris pugnax"
"rufhum","Rufous Hummingbird","Selasphorus rufus"
"rufwhi1","Rufous Whistler","Pachycephala rufiventris"
"rubrob","Rufous-backed Robin","Turdus rufopalliatus"
"rucdot1","Rufous-chested Dotterel","Zonibyx modestus"
"rngtyr1","Rufous-naped Ground-Tyrant","Muscisaxicola rufivertex"
"rutlar2","Rufous-tailed Lark","Ammomanes phoenicura"
"rutpla1","Rufous-tailed Plantcutter","Phytotoma rara"
"rtrthr1","Rufous-tailed Rock-Thrush","Monticola saxatilis"
"rutscr1","Rufous-tailed Scrub-Robin","Cercotrichas galactotes"
"russpa2","Russet Sparrow","Passer cinnamomeus"
"rusbla","Rusty Blackbird","Euphagus carolinus"
"sabgul","Sabine's Gull","Xema sabini"
"sackin1","Sacred Kingfisher","Todiramphus sanctus"
"sagthr","Sage Thrasher","Oreoscoptes montanus"
"sagspa1","Sagebrush Sparrow","Artemisiospiza nevadensis"
"salwar1","Sakhalin Leaf Warbler","Phylloscopus borealoides"
"sstspa","Saltmarsh Sparrow","Ammospiza caudacuta"
"salalb1","Salvin's Albatross","Thalassarche salvini"
"sander","Sanderling","Calidris alba"
"sancra","Sandhill Crane","Antigone canadensis"
"santer1","Sandwich Tern","Thalasseus sandvicensis"
"sarwar1","Sardinian Warbler","Curruca melanocephala"
"audshe","Sargasso Shearwater","Puffinus lherminieri"
"satfly1","Satin Flycatcher","Myiagra cyanoleuca"
"saugul2","Saunders's Gull","Saundersilarus saundersi"
"savnig1","Savanna Nightjar","Caprimulgus affinis"
"savspa","Savannah Sparrow","Passerculus sandwichensis"
"savwar1","Savi's Warbler","Locustella luscinioides"
"saypho","Say's Phoebe","Sayornis saya"
"saytan1","Sayaca Tanager","Thraupis sayaca"
"sctear1","Scale-throated Earthcreeper","Upucerthia dumetaria"
"scamyz1","Scarlet Myzomela","Myzomela sanguinolenta"
"scatan","Scarlet Tanager","Piranga olivacea"
"sctfly","Scissor-tailed Flycatcher","Tyrannus forficatus"
"scoori","Scott's Oriole","Icterus parisorum"
"xanmur2","Scripps's Murrelet","Synthliboramphus scrippsi"
"seaspa","Seaside Sparrow","Ammospiza maritima"
"sedwre1","Sedge Wren","Cistothorus stellaris"
"semplo","Semipalmated Plover","Charadrius semipalmatus"
"semsan","Semipalmated Sandpiper","Calidris pusilla"
"shbcan2","Sharp-billed Canastero","Asthenes pyrrholeuca"
"shshaw","Sharp-shinned Hawk","Accipiter striatus"
"shtsan","Sharp-tailed Sandpiper","Calidris acuminata"
"shbcuc1","Shining Bronze-Cuckoo","Chalcites lucidus"
"shicow","Shiny Cowbird","Molothrus bonariensis"
"shbdow","Short-billed Dowitcher","Limnodromus griseus"
"mewgul2","Short-billed Gull","Larus brachyrhynchus"
"sheowl","Short-eared Owl","Asio flammeus"
"shthaw","Short-tailed Hawk","Buteo brachyurus"
"shtnig1","Short-tailed Nighthawk","Lurocalis semitorquatus"
"shtshe","Short-tailed Shearwater","Ardenna tenuirostris"
"shteag1","Short-toed Snake-Eagle","Circaetus gallicus"
"sibrob","Siberian Blue Robin","Larvivora cyane"
"sibsto1","Siberian Stonechat","Saxicola maurus"
"sicswi1","Sick's Swift","Chaetura meridionalis"
"siltea1","Silver Teal","Spatula versicolor"
"silgre1","Silvery Grebe","Podiceps occipitalis"
"slbgul","Slaty-backed Gull","Larus schistisagus"
"slbpar1","Slender-billed Parakeet","Enicognathus leptorhynchus"
"slbpri1","Slender-billed Prion","Pachyptila belcheri"
"smbela1","Small-billed Elaenia","Elaenia parvirostris"
"smilon","Smith's Longspur","Calcarius pictus"
"snobun","Snow Bunting","Plectrophenax nivalis"
"snogoo","Snow Goose","Anser caerulescens"
"snoegr","Snowy Egret","Egretta thula"
"snoowl1","Snowy Owl","Bubo scandiacus"
"snoplo5","Snowy Plover","Anarhynchus nivosus"
"snoshe2","Snowy Sheathbill","Chionis albus"
"snbfly1","Snowy-browed Flycatcher","Ficedula hyperythra"
"solsan","Solitary Sandpiper","Tringa solitaria"
"sonspa","Song Sparrow","Melospiza melodia"
"sonthr1","Song Thrush","Turdus philomelos"
"sooshe","Sooty Shearwater","Ardenna grisea"
"sora","Sora","Porzana carolina"
"soapas1","South American Painted-Snipe","Nycticryphes semicollaris"
"soater1","South American Tern","Sterna hirundinacea"
"soioys1","South Island Oystercatcher","Haematopus finschi"
"sopsku1","South Polar Skua","Stercorarius maccormicki"
"sobtyr1","Southern Beardless-Tyrannulet","Camptostoma obsoletum"
"souful1","Southern Fulmar","Fulmarus glacialoides"
"angpet1","Southern Giant-Petrel","Macronectes giganteus"
"soulap1","Southern Lapwing","Vanellus chilensis"
"soumar","Southern Martin","Progne elegans"
"rocpen1","Southern Rockhopper Penguin","Eudyptes chrysocome"
"srwswa1","Southern Rough-winged Swallow","Stelgidopteryx ruficollis"
"masyel5","Southern Yellowthroat","Geothlypis velata"
"spvear1","Sparkling Violetear","Colibri coruscans"
"speduc2","Spectacled Duck","Speculanas specularis"
"speeid","Spectacled Eider","Somateria fischeri"
"spetyr1","Spectacled Tyrant","Hymenops perspicillatus"
"spbsan1","Spoon-billed Sandpiper","Calidris pygmaea"
"sbgtyr1","Spot-billed Ground-Tyrant","Muscisaxicola maculirostris"
"spbpel1","Spot-billed Pelican","Pelecanus philippensis"
"spfgal1","Spot-flanked Gallinule","Porphyriops melanops"
"spopar1","Spotted Pardalote","Pardalotus punctatus"
"sposan","Spotted Sandpiper","Actitis macularius"
"sposha1","Spotted Shag","Phalacrocorax punctatus"
"spotow","Spotted Towhee","Pipilo maculatus"
"sprpip","Sprague's Pipit","Anthus spragueii"
"whwsco1","Stejneger's Scoter","Melanitta stejnegeri"
"steeid","Steller's Eider","Polysticta stelleri"
"steeag1","Steppe Eagle","Aquila nipalensis"
"stisan","Stilt Sandpiper","Calidris himantopus"
"gyctyr2","Straneck's Tyrannulet","Serpophaga griseicapilla"
"stnibi1","Straw-necked Ibis","Threskiornis spinicollis"
"strfly1","Streaked Flycatcher","Myiodynastes maculatus"
"strher","Striated Heron","Butorides striata"
"strcuc1","Striped Cuckoo","Tapera naevia"
"subfly","Sulphur-bellied Flycatcher","Myiodynastes luteiventris"
"sumtan","Summer Tanager","Piranga rubra"
"sufdov1","Superb Fruit-Dove","Ptilinopus superbus"
"suppar1","Superb Parrot","Polytelis swainsonii"
"sursco","Surf Scoter","Melanitta perspicillata"
"surfbi","Surfbird","Calidris virgata"
"swafly1","Swainson's Flycatcher","Myiarchus swainsoni"
"swahaw","Swainson's Hawk","Buteo swainsoni"
"swathr","Swainson's Thrush","Catharus ustulatus"
"swawar","Swainson's Warbler","Limnothlypis swainsonii"
"swatan1","Swallow Tanager","Tersina viridis"
"swtkit","Swallow-tailed Kite","Elanoides forficatus"
"swahar1","Swamp Harrier","Circus approximans"
"swaspa","Swamp Sparrow","Melospiza georgiana"
"swiwhe1","Swinhoe's White-eye","Zosterops simplex"
"taifly1","Taiga Flycatcher","Ficedula albicilla"
"tamcon1","Tamarugo Conebill","Conirostrum tamarugense"
"tabsee1","Tawny-bellied Seedeater","Sporophila hypoxantha"
"tatdot1","Tawny-throated Dotterel","Oreopholus ruficollis"
"temsti","Temminck's Stint","Calidris temminckii"
"tenwar","Tennessee Warbler","Leiothlypis peregrina"
"tersan","Terek Sandpiper","Xenus cinereus"
"thbkin","Thick-billed Kingbird","Tyrannus crassirostris"
"mcclon","Thick-billed Longspur","Rhynchophanes mccownii"
"thbmur","Thick-billed Murre","Uria lomvia"
"thwbel","Three-wattled Bellbird","Procnias tricarunculatus"
"thrnig1","Thrush Nightingale","Luscinia luscinia"
"toppig1","Topknot Pigeon","Lopholaimus antarcticus"
"torimp1","Torresian Imperial-Pigeon","Ducula spilorrhoa"
"towsol","Townsend's Solitaire","Myadestes townsendi"
"towwar","Townsend's Warbler","Setophaga townsendi"
"tremar2","Tree Martin","Petrochelidon nigricans"
"trepip","Tree Pipit","Anthus trivialis"
"treswa","Tree Swallow","Tachycineta bicolor"
"triher","Tricolored Heron","Egretta tricolor"
"trokin","Tropical Kingbird","Tyrannus melancholicus"
"tropar","Tropical Parula","Setophaga pitiayumi"
"truswa","Trumpeter Swan","Cygnus buccinator"
"tufduc","Tufted Duck","Aythya fuligula"
"tufpuf","Tufted Puffin","Fratercula cirrhata"
"tunbeg1","Tundra Bean-Goose","Anser serrirostris"
"tunswa","Tundra Swan","Cygnus columbianus"
"turvul","Turkey Vulture","Cathartes aura"
"twbplo1","Two-banded Plover","Anarhynchus falklandicus"
"uplgoo1","Upland Goose","Chloephaga picta"
"uplsan","Upland Sandpiper","Bartramia longicauda"
"rebhaw2","Variable Hawk","Geranoaetus polyosoma"
"varbun","Varied Bunting","Passerina versicolor"
"varthr","Varied Thrush","Ixoreus naevius"
"varfly","Variegated Flycatcher","Empidonomus varius"
"vauswi","Vaux's Swift","Chaetura vauxi"
"veery","Veery","Catharus fuscescens"
"verfly","Vermilion Flycatcher","Pyrocephalus rubinus"
"vesspa","Vesper Sparrow","Pooecetes gramineus"
"vichum","Violet-crowned Hummingbird","Ramosomyia violiceps"
"vigswa","Violet-green Swallow","Tachycineta thalassina"
"virrai","Virginia Rail","Rallus limicola"
"virwar","Virginia's Warbler","Leiothlypis virginiae"
"wantat1","Wandering Tattler","Tringa incana"
"wardor1","Warbling Doradito","Pseudocolopteryx flaviventris"
"warvir","Warbling Vireo","Vireo gilvus"
"warwhe1","Warbling White-eye","Zosterops japonicus"
"waterc1","Watercock","Gallicrex cinerea"
"welswa1","Welcome Swallow","Hirundo neoxena"
"wesblu","Western Bluebird","Sialia mexicana"
"webwar1","Western Bonelli's Warbler","Phylloscopus bonelli"
"categr1","Western Cattle-Egret","Ardea ibis"
"weclew1","Western Crowned Warbler","Phylloscopus occipitalis"
"wesfly","Western Flycatcher","Empidonax difficilis"
"wesgre","Western Grebe","Aechmophorus occidentalis"
"wesgul","Western Gull","Larus occidentalis"
"comhom1","Western House-Martin","Delichon urbicum"
"weskin","Western Kingbird","Tyrannus verticalis"
"wesmea","Western Meadowlark","Sturnella neglecta"
"weowar2","Western Orphean Warbler","Curruca hortensis"
"wessan","Western Sandpiper","Calidris mauri"
"westan","Western Tanager","Piranga ludoviciana"
"wewpew","Western Wood-Pewee","Contopus sordidulus"
"whimbr","Whimbrel","Numenius phaeopus"
"whiter2","Whiskered Tern","Chlidonias hybrida"
"whiibi","White Ibis","Eudocimus albus"
"whisto1","White Stork","Ciconia ciconia"
"whiwag","White Wagtail","Motacilla alba"
"whbmoc1","White-banded Mockingbird","Mimus triurus"
"whbwat1","White-breasted Waterhen","Amaurornis phoenicurus"
"whbwoo4","White-breasted Woodswallow","Artamus leucorynchus"
"cawfin1","White-bridled Finch","Melanodera melanodera"
"wbgtyr1","White-browed Ground-Tyrant","Muscisaxicola albilora"
"whbwoo5","White-browed Woodswallow","Artamus superciliosus"
"whcalb1","White-capped Albatross","Thalassarche cauta"
"whcpin","White-cheeked Pintail","Anas bahamensis"
"whcsta1","White-cheeked Starling","Spodiopsar cineraceus"
"whcpet1","White-chinned Petrel","Procellaria aequinoctialis"
"whcela1","White-crested Elaenia","Elaenia albiceps"
"whcspa","White-crowned Sparrow","Zonotrichia leucophrys"
"whehum","White-eared Hummingbird","Basilinna leucotis"
"whebuz1","White-eyed Buzzard","Butastur teesa"
"whevir","White-eyed Vireo","Vireo griseus"
"whfher1","White-faced Heron","Egretta novaehollandiae"
"whfibi","White-faced Ibis","Plegadis chihi"
"whfter1","White-fronted Tern","Sterna striata"
"whhpet1","White-headed Petrel","Pterodroma lessonii"
"whrsan","White-rumped Sandpiper","Calidris fuscicollis"
"whshil1","White-sided Hillstar","Oreotrochilus leucopleurus"
"whtrob2","White-tailed Robin","Myiomela leucura"
"whtfly1","White-throated Flycatcher","Empidonax albigularis"
"whthaw1","White-throated Hawk","Buteo albigula"
"whtnee","White-throated Needletail","Hirundapus caudacutus"
"whtrob3","White-throated Robin","Irania gutturalis"
"whtspa","White-throated Sparrow","Zonotrichia albicollis"
"whtswi","White-throated Swift","Aeronautes saxatalis"
"whtpla1","White-tipped Plantcutter","Phytotoma rutila"
"whtgre3","White-tufted Grebe","Rollandia rolland"
"whwbec1","White-winged Becard","Pachyramphus polychopterus"
"whwcoo1","White-winged Coot","Fulica leucoptera"
"whwcro","White-winged Crossbill","Loxia leucoptera"
"whwdov","White-winged Dove","Zenaida asiatica"
"whwsco2","White-winged Scoter","Melanitta deglandi"
"whwter","White-winged Tern","Chlidonias leucopterus"
"whoswa","Whooper Swan","Cygnus cygnus"
"whocra","Whooping Crane","Grus americana"
"willet1","Willet","Tringa semipalmata"
"wilsap","Williamson's Sapsucker","Sphyrapicus thyroideus"
"wilfly","Willow Flycatcher","Empidonax traillii"
"wilpta","Willow Ptarmigan","Lagopus lagopus"
"wlwwar","Willow Warbler","Phylloscopus trochilus"
"wilpha","Wilson's Phalarope","Phalaropus tricolor"
"wilplo","Wilson's Plover","Anarhynchus wilsonia"
"wilsni1","Wilson's Snipe","Gallinago delicata"
"wispet","Wilson's Storm-Petrel","Oceanites oceanicus"
"wlswar","Wilson's Warbler","Cardellina pusilla"
"winwre3","Winter Wren","Troglodytes hiemalis"
"wooduc","Wood Duck","Aix sponsa"
"woosan","Wood Sandpiper","Tringa glareola"
"woosto","Wood Stork","Mycteria americana"
"woothr","Wood Thrush","Hylocichla mustelina"
"wooshr1","Woodchat Shrike","Lanius senator"
"woewar1","Worm-eating Warbler","Helmitheros vermivorum"
"wrlrus1","Wren-like Rushbird","Phleocryptes melanops"
"wrybil1","Wrybill","Anarhynchus frontalis"
"levshe1","Yelkouan Shearwater","Puffinus yelkouan"
"yelbit","Yellow Bittern","Botaurus sinensis"
"yelgro","Yellow Grosbeak","Pheucticus chrysopeplus"
"yelrai","Yellow Rail","Coturnicops noveboracensis"
"yelwar","Yellow Warbler","Setophaga petechia"
"yebfly","Yellow-bellied Flycatcher","Empidonax flaviventris"
"yebsap-example","Yellow-bellied Sapsucker","Sphyrapicus varius"
"yebsap","Yellow-bellied Sapsucker","Sphyrapicus varius"
"yebcuc","Yellow-billed Cuckoo","Coccyzus americanus"
"yebgro1","Yellow-billed Grosbeak","Eophona migratoria"
"yebloo","Yellow-billed Loon","Gavia adamsii"
"yebpin1","Yellow-billed Pintail","Anas georgica"
"yebspo1","Yellow-billed Spoonbill","Platalea flavipes"
"yebtea1","Yellow-billed Teal","Anas flavirostris"
"ybttyr1","Yellow-billed Tit-Tyrant","Anairetes flavirostris"
"yebbun","Yellow-breasted Bunting","Emberiza aureola"
"yebcha","Yellow-breasted Chat","Icteria virens"
"yebfin1","Yellow-bridled Finch","Melanodera xanthogramma"
"yebtyr2","Yellow-browed Tyrant","Satrapa icterophrys"
"ycnher","Yellow-crowned Night Heron","Nyctanassa violacea"
"yeepen1","Yellow-eyed Penguin","Megadyptes antipodes"
"yefhon1","Yellow-faced Honeyeater","Caligavis chrysops"
"yegvir","Yellow-green Vireo","Vireo flavoviridis"
"yehbla","Yellow-headed Blackbird","Xanthocephalus xanthocephalus"
"yelgul1","Yellow-legged Gull","Larus michahellis"
"yelthr1","Yellow-legged Thrush","Turdus flavipes"
"yersis1","Yellow-rumped Siskin","Spinus uropygialis"
"yerwar","Yellow-rumped Warbler","Setophaga coronata"
"yetbun1","Yellow-throated Bunting","Emberiza elegans"
"yetvir","Yellow-throated Vireo","Vireo flavifrons"
"yetwar","Yellow-throated Warbler","Setophaga dominica"
"yewlap2","Yellow-wattled Lapwing","Vanellus malabaricus"
"yewbla2","Yellow-winged Blackbird","Agelasticus thilius"
"yellow2","Yellowhammer","Emberiza citrinella"
"yucnig1","Yucatan Nightjar","Antrostomus badius"
"zothaw","Zone-tailed Hawk","Buteo albonotatus"
